premise,hypothesis,label,idx
Focus of the project will be on decarbonization of coastal and inland shipping.,"A pathway to full decarbonization for sea transport, however, appears to be unfeasible in the medium term. RMI should carefully monitor and reap the benefits of the GIZsUSPs LCSTTP under the Micronesian Center for Sustainable Transport established in Majuro.",1,14
Focus of the project will be on decarbonization of port handling and rolling equipment.,"A pathway to full decarbonization for sea transport, however, appears to be unfeasible in the medium term. RMI should carefully monitor and reap the benefits of the GIZsUSPs LCSTTP under the Micronesian Center for Sustainable Transport established in Majuro.",0,15
Focus of the project will be on sustainable solutions for ports.,"A pathway to full decarbonization for sea transport, however, appears to be unfeasible in the medium term. RMI should carefully monitor and reap the benefits of the GIZsUSPs LCSTTP under the Micronesian Center for Sustainable Transport established in Majuro.",0,16
Focus of the project will be on water pumping.,A range of local and international ngos provide treadle pumps for assisting communities to obtain drinking water in rural areas.,1,17
Focus of the project will be on water supply pumping stations.,A range of local and international ngos provide treadle pumps for assisting communities to obtain drinking water in rural areas.,1,18
Focus of the project will be on delivering emission reduction in international water (associated with slow steaming and reduction of improved stowage efficiency),"A reduction in speed and the associated reduction in fuel consumption do not relate to an equivalent percentage increase in efficiency, because a greater number of ships  (or more days at sea) are required to do the same amount of transport work.",1,19
Focus of the project will be on supply of seeds for agricultural use.,"A reduction in the vulnerabilities that agriculture currently faces, especially small-scale farming, can contribute to the preparedness for adaptation to climate change. Difficult access to seeds that are adequate to local conditions is one of the vulnerabilities that farmers and peasants face in various parts of Angola. The national gathering of local seeds can be the basis of a programme to create varieties that are adapted to local conditions, with the participation of farmers and peasants.",1,20
Focus of the project will be on supplying water to commercial and residential establishments.,"A study conducted by Puttiwongrak et. al.  to assess groundwater potential in Phuket island, indicated only about 5.5% of the island area to have high groundwater potential and 52.2% area with moderate potential and remaining 42.3% of are with low potential. Similar observations were reported by Charoenpong et. al. (2012)  based on the groundwater data (levels and specific capacity) collected from 504 wells. ",1,21
Focus of the project will be on electric power plants that use non-biodegradable industrial and municipal waste as the energy source.,"A successful feasibility study for a 1.2 mw waste-to-energy (wte) plant in majuro was conducted in NUMBER WTE would substantially reduce RMIs waste-related emissions thanks to the reduction of methane emissions. Furthermore, a WTE plant could provide baseload power for RMI, at least partially eliminating the short to medium-term need for diesel-powered electricity generation. This would provide the dual benefit of reducing waste as well as decreasing the need for imported fossil fuel.",1,22
Focus of the project will be on solid waste to electricity generation.,"A successful feasibility study for a 1.2 mw waste-to-energy (wte) plant in majuro was conducted in NUMBER WTE would substantially reduce RMIs waste-related emissions thanks to the reduction of methane emissions. Furthermore, a WTE plant could provide baseload power for RMI, at least partially eliminating the short to medium-term need for diesel-powered electricity generation. This would provide the dual benefit of reducing waste as well as decreasing the need for imported fossil fuel.",1,23
Focus of the project will be on decentralized water distribution.,Ability of communities to store enough supply of good quality water.,0,24
Focus of the project will be on ground water exploitation for agricultural use.,"Absence of agriculture Technologies, introduction of water harvesting technology to increase agricultural production.",0,25
Focus of the project will be on nutrient extraction.,"Accelerating food diversification through the development of various healthy food outputs from commodities that are more resilient to the impact of climate changes and that are water efficient, particularly local food outputs (sago, ganyong, roots, beans, and other local food outputs).",0,26
Focus of the project will be on water treatment facilities.,Access to water facilities at the moment is problematic.,0,27
Focus of the project will be on water utility companies.,Access to water facilities at the moment is problematic.,1,28
Focus of the project will be on water concessions.,Accessibility to clean and good quality water.,0,29
Focus of the project will be on water treatment facilities.,Accessibility to clean and good quality water.,1,30
Focus of the project will be on biosphere protection.,"According to fao (2018d), safeguards cover a variety of substantive areas in environmental and social management. While there is no agreement at an international level regarding what should be covered under a safeguard system, most safeguard systems employed by organisations involved in supporting climate change adaptation projects, such as the World Bank or the Green Climate Fund, cover the following areas: Environmental or social impact assessments; Biodiversity; Pollution prevention; Climate change mitigation; Rights of indigenous people; voluntary resettlement; Labour, health, and safety; Cultural heritage; Transparency; Consultation requirements; and Grievance procedures.",1,31
Focus of the project will be on improving the protection of marine and coastal ecosystems by offering a port-based technical solution to treat ballast water of vessels,"According to the IPCC, we will observe four major changes in aquatic ecosystems: the increase in temperature, the rise in sea level, the acidification of the water (increase in pH) and the multiplication of extreme events (coastal erosion, swells, cyclones, etc.). These variables will affect fish populations and coastal habitats used as nurseries such as mangroves in several ways",1,32
Focus of the project will be on improving the protection of marine and coastal ecosystems by offering a port-based technical solution to treat ballast water of vessels,"According to the IPCC, we will observe four major changes in aquatic ecosystems: the increase in temperature, the rise in sea level, the acidification of the water (increase in pH) and the multiplication of extreme events (coastal erosion, swells, cyclones, etc.). These variables will affect fish populations and coastal habitats used as nurseries such as mangroves in several ways",1,33
Focus of the project will be on afforestation for desertification control.,"According to the national action for the fight against drought and desertification PANCSD) in NUMBER the causes of drought and desertification are inter-linked with poverty conditions and population life expectancy. Other issues linked to desertification include social, economic, cultural, food security, migration and access to potable water sources among others. According to PANCSD, Matutuine, Goba, Changalane, Mabalane, Namita are areas impacted by deforestation, while Mabalane, Chicualacuala, Pafuri, Mabote, Moatize are vulnerable districts to erosion due to over-grazing.",1,34
Focus of the project will be on biofuel-fired power plants.,"Achieve higher efficiency and less carbon emissions from Energy power generation through the use of (pleo,micre-hydro, biomass, blogas, solar PV, wind power at different scales, natural gas power generation, etc.",1,35
Focus of the project will be on use of solids and liquids produced from biomass for direct power generation.,"Achieve higher efficiency and less carbon emissions from Energy power generation through the use of (pleo,micre-hydro, biomass, blogas, solar PV, wind power at different scales, natural gas power generation, etc.",1,36
Focus of the project will be on use of solids and liquids produced from biomass for direct power generation.,"Achieve higher efficiency and less carbon emissions from Energy power generation through the use of pleo,micre-hydro, biomass, blogas, solar PV, wind power at different scales, natural gas power generation, etc.",1,37
Focus of the project will be on bulk water supply.,Achieve number drinking water coverage by number with resilient delivery services.,1,38
Focus of the project will be on decentralized water distribution.,Achieve number drinking water coverage by number with resilient delivery services.,0,39
Focus of the project will be on ballast water treatment.,Acquire appropriate  sewage treatment technologies.,0,40
Focus of the project will be on large scale sewerage including trunk sewers and sewage pumping stations.,Acquire appropriate  sewage treatment technologies.,1,41
Focus of the project will be on port waste and wastewater treatment.,Acquire appropriate  sewage treatment technologies.,0,42
Focus of the project will be on wastewater collection.,Acquire appropriate  sewage treatment technologies.,0,43
"Focus of the project will be on latrines, on-site disposal and alternative sanitation systems, including the promotion of household and community investments in the construction of these facilities.",Acquire appropriate sewage treatment and disposal technologies  to protect water resources.,1,44
Focus of the project will be on port waste and wastewater treatment.,Acquire appropriate sewage treatment and disposal technologies  to protect water resources.,0,45
Focus of the project will be on sewerage networks.,Acquire appropriate sewage treatment and disposal technologies  to protect water resources.,1,46
Focus of the project will be on wastewater collection.,Acquire appropriate sewage treatment and disposal technologies  to protect water resources.,0,47
Focus of the project will be on wastewater treatment facilities.,Acquire appropriate sewage treatment and disposal technologies  to protect water resources.,0,48
Focus of the project will be on brackish ground-water desalination.,Acquire desalination  technologies  appropriate for small islands.,0,49
Focus of the project will be on ocean water desalination.,Acquire desalination  technologies appropriate for small islands.,1,50
"Focus of the project will be on port infrastructure for off-shore wind farm assembly, load-out and servicing.",Acquire desalination  technologies appropriate for small islands.,0,51
Focus of the project will be on recycling and recovery facilities.,Acquire necessary equipment (usd number million).,0,52
Focus of the project will be on bulk water supply.,Acquire technology  for emergency  freshwater  provision.,1,53
Focus of the project will be on supply of agricultural machinery/equipment.,Acquisition and maintenance of equipment for trip irrigation systems.,1,54
Focus of the project will be on supply of agricultural machinery/equipment.,Acquisition of conservation agriculture equipment and implements technical expertise in the various activities.,1,55
Focus of the project will be on ground water exploitation for agricultural use.,Actions conducting research on tolerant varieties and water efficient farming methods.,0,56
Focus of the project will be on fish stock protection.,Activate and enforce marine fishing laws and regulations.,1,57
Focus of the project will be on afforestation for integrated forestry projects.,Activities Assess the feasibility of agro-forestry systems in targeted sites; identify suitable tree species; Negotiate with relevant stakeholders on land use terms; Organise farmers groups to develop and manage the sites; Train farmers in agro-forestry; Provide farmers with seedlings; and implement demonstration plots.,1,58
Focus of the project will be on water pumping.,Activities Dredge the reservoir; Repair a dike and a water gate; and Establish reservoir maintenance scheme.,0,59
Focus of the project will be on natural reserves and actions in the surrounding areas.,Activities will include: integration of traditional and modern conservation practices; Awareness and Capacity building for communities on conservation areas.,1,60
Focus of the project will be on supply of agricultural machinery/equipment.,"Activities: Acquisition of agricultural equipment for ploughing, mowing and weeding; Training of producers in efficient and effective use of the equipment through training programmes, seminars, sessions, etc ; entification, then the experimental use, of high-yield, fastgrowing varieties, suitable for various zones.",1,61
Focus of the project will be on reservoirs and hydraulic structures for agricultural use.,"Activities: Construction of small family size cisterns, communitarian cisterns and respective collection surfaces, reservoirs, capture, provision and water storage infrastructures, small dams or aqueducts, and promoting diffusion of localized and drip irrigation, particularly for fruit and vegetable crops; Promote installation of water harvest systems from clouds in high altitude zones; Construction of infrastructure for recharge of aquifers and retention in order to diminish the losses through underground draining in direction of the sea, such as underground filters; Replacement of the traditional water provision installations (open sky piping) for irrigation under closed conditions; Construction of residual water treatment infrastructure.",1,62
Focus of the project will be on water transport.,"Activities: Construction of small family size cisterns, communitarian cisterns and respective collection surfaces, reservoirs, capture, provision and water storage infrastructures, small dams or aqueducts, and promoting diffusion of localized and drip irrigation, particularly for fruit and vegetable crops; Promote installation of water harvest systems from clouds in high altitude zones; Construction of infrastructure for recharge of aquifers and retention in order to diminish the losses through underground draining in direction of the sea, such as underground filters; Replacement of the traditional water provision installations (open sky piping) for irrigation under closed conditions; Construction of residual water treatment infrastructure.",0,63
Focus of the project will be on afforestation for erosion control.,"Activities: Creation of small anti-erosion infrastructures; Setting up of anti-erosion systems; Reforestation, land grassing, creation of small nurseries; Sand dunes erection; Monitoring and evaluation.",1,64
"Focus of the project will be on conservation and rehabilitation of inland surface waters (rivers, lakes etc.), ground water and coastal waters.",Activities: Identify and select waterways to be rehabilitated; Conduct feasibility studies of the selected projects; Rehabilitate identified waterways; and Train staff of local authorities on maintenance and management of waterways.,1,65
"Focus of the project will be on river and other inland water transport, inland barges and vessels.",Activities: Identify and select waterways to be rehabilitated; Conduct feasibility studies of the selected projects; Rehabilitate identified waterways; and Train staff of local authorities on maintenance and management of waterways.,0,66
"Focus of the project will be on latrines, on-site disposal and alternative sanitation systems, including the promotion of household and community investments in the construction of these facilities.","Activities: improve housing conditions and toilet facilities, crease access to safe drinking water, Construct appropriate  low cost water supply systems, tensify sanitary inspections, tensify vector control measures, Rehabilitate roads and bridges and improve Urban-Rural communication, Promote  environmental  health  and community  participation  and involvement in sanitation issues, prove waste collection and disposal facilities.",1,67
Focus of the project will be on shipbuilding.,Activities: Survey of construction site; Construction of support structure (pier or jetty); Construction  of stilling well; Installation of tide gauge; Operation of the station; Training of personnel (workshops on managing of tide gauges); Training personnel on data collecting and analysis.,0,68
"Focus of the project will be on harbours and docks, harbour guidance systems, ships and boats.","Activities: Trained personnel and coastal engineers; Legal and regulatory framework, enforced policies and guidelines; Capacity development plans for coastal zone management; Data and information; Research and training needs; Public awareness; Community Involvement; Satellite images; Adequate fund to undertake activities.",0,69
Focus of the project will be on fishing boats building.,"Activity Distribute 10,000 traditional wooden boats to households in selected areas.",1,70
Focus of the project will be on shipbuilding.,"Activity: Distribute 10,000 traditional wooden boats to households in selected areas.",1,71
Focus of the project will be on domestic and industrial waste water treatment plants.,Adaptation of integrated waste management systems.,0,72
Focus of the project will be on large sanitation systems.,Adaptation of integrated waste management systems.,0,73
"Focus of the project will be on latrines, on-site disposal and alternative sanitation systems, including the promotion of household and community investments in the construction of these facilities.",Adaptation of integrated waste management systems.,0,74
"Focus of the project will be on municipal and industrial solid waste collection, disposal and treatment.",Adaptation of integrated waste management systems.,1,75
"Focus of the project will be on solid waste treatment, waste to production, recycling and recovery facilities.",Adaptation of integrated waste management systems.,1,76
Focus of the project will be on waste management and disposal.,Adaptation of integrated waste management systems.,1,77
Focus of the project will be on fishing boats building.,Adapted construction to the strong winds; Definitive construction of houses.,0,78
Focus of the project will be on marine pollution control.,"Addition to assisting with adaptation to climate change, coastal-ecosystems management of mangroves, salt marshes and kelp forests can contribute to climate- change mitigation by reducing emissions and increasing carbon sequestration. (For more on this topic, see the Strategy on Biodiversity and Ecosystems).",0,79
"Focus of the project will be on port infrastructure for off-shore wind farm assembly, load-out and servicing.","Addition to the aforementioned measures, it also promotes sustainable fishing techniques through training and, equipping with boats and fishing gears. This will ensure adequate island resources and the development of the fisheries sector. In order to ensure steady supply of electricity to the fishery industry, the government has initiated wind powered turbine to generate electricity to the major coast cities and towns.",0,80
Focus of the project will be on shipbuilding.,"Addition, i-kiribati are developing expertise and reputations as merchant seafarers, with over NUMBER employed abroad. These maritime positions are now providing a significant national income of over AUD NUMBER million for Kiribati through remittances. Maritime training for I-Kiribati is a key development field.",0,81
Focus of the project will be on shipbuilding.,"Additionally and in consultation with the public, maintain mooring buoys, remove derelict vessels and other debris.",0,82
"Focus of the project will be producing a drought-resistant crop that has many uses in the food sector as well as others; enhance and protect the marine ecosystem; encourage new and diverse livelihood options in the local area, and contribute to the reduction in use of land-based chemical fertilizers.","Additionally to consider, whether cultivating seaweed can contribute to avoiding GHG emissions or enhancing sequestration depends on the project�s design and the use of the cultivated seaweed. Blue Kelp will implement 100% renewables powered harvesting and monitoring machinery, as well as running associated industrial processes with self-installed renewables. While dive boats, tugboats, and installation vessels will remain hydrocarbon based, Kelp Blue holds that its net operations will be carbon negative. Substantiation of this claim is still necessary.",1,83
Focus of the project will be on supply of agricultural machinery/equipment.,Address market and production issues through farmers cooperatives.,0,84
Focus of the project will be on municipal and industrial solid waste management (including hazardous and toxic waste).,Adopt alternative urban solid waste management.,1,85
"Focus of the project will be on solid waste treatment, waste to production, recycling and recovery facilities.",Adopt alternative urban solid waste management.,1,86
Focus of the project will be on decentralized water treatment.,Adopt and promote integrated water management and treatment.,1,87
Focus of the project will be on ballast water treatment.,Adopt and promote integrated water management.,0,88
Focus of the project will be on creation and sharing of water knowledge.,Adopt and promote integrated water management.,0,89
Focus of the project will be on decentralized water distribution.,Adopt and promote integrated water management.,1,90
Focus of the project will be on water concessions.,Adopt and promote integrated water management.,0,91
Focus of the project will be on water utility companies.,Adopt and promote integrated water management.,1,92
Focus of the project will be on flood prevention and control.,"Adopt appropriate legislative, regulatory and organisational measures to mitigate the impact of floods (which are likely to increase in scale and frequency as a result of climate change).",1,93
Focus of the project will be on exploitation and utilisation of fisheries.,Adopt eco-system services approach in the management of fisheries resources.,1,94
Focus of the project will be on decentralized water distribution.,Adopt ecosystem-based approach to manage water resources.,1,95
Focus of the project will be on decentralized water treatment.,Adopt ecosystem-based approach to manage water resources.,0,96
Focus of the project will be on ground-water abstraction.,Adopt ecosystem-based approach to manage water resources.,1,97
Focus of the project will be on ground water exploitation for agricultural use.,"Adopt new water capture technologies and retrofit damaged water infrastructure (e.g. dams, ponds and swales for rain water harvesting, groundwater abstraction) for use in agriculture.",1,98
Focus of the project will be on nutrient extraction.,"Adopt water-efficient technologies to harvest water, conserve solid moisture (e.g. crop residue retention) and reduce siltation and saltwater intrusion.",0,99
Focus of the project will be on decarbonization of coastal and inland shipping.,Adoption of a national coastal zone management policy.,0,100
Focus of the project will be on ground water exploitation for agricultural use.,Adoption of adequate land policies that protect the rural producers; Mobilization of surface water for the improvement of crop production and supply of ground water.,1,101
Focus of the project will be on afforestation for exploitation and utilisation.,Adoption of efficient management of irrigated areas.,0,102
"Focus of the project will be on motor vehicles, motor passenger cars and aircraft building.","Adoption of modern, efficient and advanced technologies in industry, transport and buildings.",1,103
Focus of the project will be on delivering emission reduction in international water (associated with slow steaming and reduction of improved stowage efficiency),"Adoption of resolution MEPC.323(74) on Invitation to Member States to encourage voluntary cooperation between the port and shipping sectors to contribute to reducing GHG emissions from ships. This resolution aims to promote regulatory, technical, operational and economic actions in the port sector",1,104
Focus of the project will be on potable water treatment plants.,"Advanced solar powered water supply facilities constructed for pumping water from rivers, streams or ponds for irrigation.",1,105
"Focus of the project will be on rural water supply schemes using handpumps, spring catchments, gravity-fed systems, rainwater collection and fog harvesting, storage tanks, small distribution systems typically with shared connections/points of use.","Advanced solar powered water supply facilities constructed for pumping water from rivers, streams or ponds for irrigation.",1,106
Focus of the project will be on water pumping.,"Advanced solar powered water supply facilities constructed for pumping water from rivers, streams or ponds for irrigation.",1,107
Focus of the project will be on water utility companies.,"Advanced solar powered water supply facilities constructed for pumping water from rivers, streams or ponds for irrigation.",1,108
Focus of the project will be on afforestation for industrial and rural consumption.,"Afforestation and deforestation over 40,000 hectares between number and to combat deforestation, the loss of water resources, animal, plant and land biodiversity. Protect upstream river basins against silting and water erosion.",0,109
Focus of the project will be on afforestation for industrial and rural consumption.,Afforestation and reforestation and planting in irrigated agricultural area in support of climate mitigation.,0,110
Focus of the project will be on afforestation for erosion control.,"Afforestation and reforestation practices, applying the ecosystem approach.",1,111
Focus of the project will be on afforestation for integrated forestry projects.,"Afforestation and reforestation practices, applying the ecosystem approach.",1,112
Focus of the project will be on afforestation for exploitation and utilisation.,Afforestation and Reforestation Program Biomass Valorization Program for Industry.,1,113
Focus of the project will be on afforestation for industrial and rural consumption.,Afforestation and Reforestation Program Biomass Valorization Program for Industry.,1,114
Focus of the project will be on afforestation for integrated forestry projects.,Afforestation and Reforestation Program Biomass Valorization Program for Industry.,1,115
Focus of the project will be on afforestation for erosion control.,Afforestation and reforestation through official planting. Community planting Afforestation and reforestation and Planting in irrigated agricultural supports climate mitigation areas.,1,116
Focus of the project will be on afforestation for exploitation and utilisation.,Afforestation and reforestation through official planting. Community planting Afforestation and reforestation and planting in irrigated agricultural supports climate mitigation areas.,0,117
Focus of the project will be on afforestation for integrated forestry projects.,"afforestation and reforestation. practices, applying the ecosystem approach.",1,118
Focus of the project will be on afforestation for integrated forestry projects.,"Afforestation program will cover over 36,000 ha.",0,119
Focus of the project will be on afforestation for exploitation and utilisation.,Afforestation programs to maintain the balance between annual fuel Wood demand and Supply for Rural Household Energy.,1,120
Focus of the project will be on afforestation for exploitation and utilisation.,Afforestation programs to maintain the balance between annual fuel. Wood demand and Supply for Rural Household Energy.,1,121
Focus of the project will be on afforestation for desertification control.,Afforestation using water management technique (water harvesting).,1,122
Focus of the project will be on atmospheric water generation.,Afforestation using water management technique (water harvesting).,0,123
Focus of the project will be on brackish ground-water desalination.,Afforestation using water management technique (water harvesting).,0,124
Focus of the project will be on ocean water desalination.,Afforestation using water management technique (water harvesting).,1,125
Focus of the project will be on water pumping.,Afforestation using water management technique (water harvesting).,0,126
Focus of the project will be on water transport.,Afforestation using water management technique (water harvesting).,0,127
Focus of the project will be on afforestation for erosion control.,"Afforestationreforestation practices, applying the ecosystem approach.",1,128
Focus of the project will be on afforestation for exploitation and utilisation.,"Afolu (agriculture, forestry and other land uses) : Upscaling of good sustainable land management practices over all agroecological areas in order to increase the resilience of ecosystems and households and sequester carbon.",1,129
Focus of the project will be on ground-water abstraction.,"Again if the farmers depend on increased number of agricultural shallow tubewells, the rate of groundwater abstraction from the shallow water tables will be much higher and might lead to increased arsenic contamination of ground water.",1,130
"Focus of the project will be on supply of industrial crops/export crops (including sugar; coffee, cocoa, tea; oil seeds, nuts, kernels; fibre crops; tobacco; rubber).","Agricultural disaster risk reduction and management Production of olives, grapes, stone fruits, rain-fed vegetables, field crops and livestock.",1,131
Focus of the project will be on supply of seeds for agricultural use.,Agricultural diversity for local and export markets.,1,132
"Focus of the project will be on supply of industrial crops/export crops (including sugar; coffee, cocoa, tea; oil seeds, nuts, kernels; fibre crops; tobacco; rubber).",Agricultural food crops extension services; Diversification of agricultural system.,1,133
"Focus of the project will be on use of biogases from anaerobic fermentation (e.g. landfill gas, sewage sludge gas, fermentation of energy crops and manure) and thermal processes (also known as syngas).","Agricultural sector: Collect methane gas from manure of livestock and poultry, use of alternative sources of energy and modern technologies.",1,134
"Focus of the project will be on supply of industrial crops/export crops (including sugar; coffee, cocoa, tea; oil seeds, nuts, kernels; fibre crops; tobacco; rubber).","Agriculture, before independence, was the main sector of the economy and the country was a great exporter of corn, cotton, sisal and most importantly coffee. Small-scale farmers especially in the central region were the main producers and were integrated in the market.",1,135
Focus of the project will be on supply of agricultural machinery/equipment.,"Agriculture, in need of forecasting and early warning system technologies, crop improvement technologies, and precision farming technologies.",1,136
Focus of the project will be on supply of agricultural machinery/equipment.,"Agriculture, livestock and fisheries are the most important sectors of the economy, with agriculture representing NUMBER percent of the countrys labour force. The excellent agro- climatic conditions particularly in the countrys central and northern regions and accessible surface water provide ample opportunities for irrigation. These conditions are favourable for cash crops, namely cashew nuts, sugar-cane, cotton, tea, beans, tropical fruits, etc. Portions of the agricultural, timber and fisheries sectors contributed to 50 percent of the countrys total exports in 1998.",0,137
"Focus of the project will be on supply of industrial crops/export crops (including sugar; coffee, cocoa, tea; oil seeds, nuts, kernels; fibre crops; tobacco; rubber).","Agriculture, livestock and fisheries are the most important sectors of the economy, with agriculture representing NUMBER percent of the countrys labour force. The excellent agro- climatic conditions particularly in the countrys central and northern regions and accessible surface water provide ample opportunities for irrigation. These conditions are favourable for cash crops, namely cashew nuts, sugar-cane, cotton, tea, beans, tropical fruits, etc. Portions of the agricultural, timber and fisheries sectors contributed to 50 percent of the countrys total exports in 1998.",1,138
"Focus of the project will be on supply of industrial crops/export crops (including sugar; coffee, cocoa, tea; oil seeds, nuts, kernels; fibre crops; tobacco; rubber).","Agriculture, manufacturing industries, and various services such as transport and trade are the major economic sectors of the country. While there are some debate regarding the direct contribution of agriculture to the national income, two facts remain undisputed. Firstly, there is a decreasing trend in its share in GDP.",1,139
"Focus of the project will be on motor vehicles, motor passenger cars and aircraft building.",Agriculture: Fuel Combustion; Energy industries; Manufacturing industries and construction; Transport; Other sectors; Fugitive emissions from fuels; Solid fuels; Oil and natural gas and other emissions from energy production; CO2 transport and storage.,0,140
"Focus of the project will be on supply of industrial crops/export crops (including sugar; coffee, cocoa, tea; oil seeds, nuts, kernels; fibre crops; tobacco; rubber).",Agriculture: Fuel Combustion; Energy industries; Manufacturing industries and construction; Transport; Other sectors; Fugitive emissions from fuels; Solid fuels; Oil and natural gas and other emissions from energy production; CO2 transport and storage.,0,141
Focus of the project will be on supply of agricultural machinery/equipment.,Agriculture: the countrys most agricultural production system is dependent either on rainfall or on the annual flooding and recession of the Tonle Sap Great Lake. The sector is therefore particularly sensitive to potential changes in local climate and monsoon regimes.,0,142
Focus of the project will be on afforestation for integrated forestry projects.,Agro forestry and Rehabilitation of degraded forest areas.,1,143
Focus of the project will be on afforestation for integrated forestry projects.,Agro-forestry systems in pilot areas developed.,1,144
Focus of the project will be on afforestation for industrial and rural consumption.,Agroforestry technology (i.e. alley cropping) to ensure high productivity and sustainability.,1,145
"Focus of the project will be on sustainable protection of wetland (including peatlands, marshes, deltas, floodplains) and riverine ecosystems.",Aims to promote the conservation and sustainable use of wetlands in order to sustain their ecological and socio-economic functions for the benefits of the present and future well being of the people.,1,146
"Focus of the project will be on sustainable restoration of wetland (including peatlands, marshes, deltas, floodplains) and riverine ecosystems.",Aims to promote the conservation and sustainable use of wetlands in order to sustain their ecological and socio-economic functions for the benefits of the present and future well being of the people.,1,147
"Focus of the project will be on motor vehicles, motor passenger cars and aircraft building.","Air quality  considered among the best in the region - is becoming a cause for concern in view of the accelerated growth in the industrial sector in the last NUMBER year period. Moreover, records show an annual increase of 11-17 in the number of cars in the period.",1,148
Focus of the project will be on air pollution control.,"Air quality monitoring systems designed, operating and linked to health warning systems.",1,149
Focus of the project will be on air pollution control.,Air quality standards developed and enforcement mechanisms setup and operating.,1,150
Focus of the project will be on urban schemes using handpumps and local neighbourhood networks including those with shared connections.,All island councils utilise pv-grid systems.,0,151
Focus of the project will be on water concessions.,"Allocate part of the proceeds of water use charges to preparation of adaptation projects, enabling access to specified funding.",0,152
Focus of the project will be on bulk water supply.,Allocation of water supply through market based systems.,1,153
Focus of the project will be on decentralized water distribution.,Allocation of water supply through market based systems.,0,154
Focus of the project will be on decentralized water treatment.,Allocation of water supply through market based systems.,0,155
"Focus of the project will be on large scale transmission, conveyance and distribution water systems.",Allocation of water supply through market based systems.,0,156
Focus of the project will be on water concessions.,Allocation of water supply through market based systems.,0,157
Focus of the project will be on water supply pumping stations.,Allocation of water supply through market based systems.,0,158
Focus of the project will be on ozone layer preservation.,"Also joins the global needs of overall emission reduction, as well as national contributions, in order to achieving the ultimate objective of the UNFCCC, which is the stabilization of GHG concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system.",0,159
Focus of the project will be on supply of seeds for agricultural use.,Also provides seed that is early maturing in drier parts of the country.,1,160
Focus of the project will be on biofuel-fired power plants.,"Alternative biofuels billed as solutions to petroleum energy crises however, obey the same laws of photosynthesis, which makes them equally inefficient solar energy converters. Until suitable alternatives are found therefore, The Gambias energy dependence is bound to increase.",1,161
Focus of the project will be on integrated fishery projects.,Alternative fisheries (fish aggregating devices (fad) to promote pelagic fishing and deep water fisheries).,1,162
Focus of the project will be on bulk water storage.,Alternative water storage programmes and technology for communities.,1,163
